amfi_code,scheme_name,cagr_3yr_pct,sharpe_ratio,alpha,max_drawdown_pct,expense_ratio_pct,category,rank_3yr,rank_sharpe,rank_alpha,rank_expense_inv,rank_max_dd_inv,composite_score,final_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,33.991970400445304,1.4482911703262598,0.2698375144191807,-11.265729075028275,1.46,Equity,97.5,100.0,85.0,45.0,82.5,86.25,1
120505,ICICI Pru Midcap Fund - Regular - Growth,31.769242852237323,1.1801011976606492,0.2926358334175106,-18.188513572116292,1.36,Equity,90.0,90.0,95.0,65.0,40.0,82.25,2
120843,Kotak Flexicap Fund - Regular - Growth,29.57511058901836,1.3067439695428409,0.27330465038306057,-12.97396816518679,1.45,Equity,85.0,97.5,90.0,47.5,70.0,82.0,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.43397122906222,1.093698743534631,0.2719535450128533,-16.217208574644847,1.38,Equity,92.5,85.0,87.5,60.0,52.5,80.75,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,32.478927222623,1.0265242847993001,0.2119482701352573,-12.588275606922517,0.8,Equity,95.0,77.5,70.0,72.5,72.5,80.0,5
119094,Axis Midcap Fund - Regular - Growth,35.10252788903541,0.9982309868636413,0.2607666908004223,-20.960883862039193,1.38,Equity,100.0,75.0,80.0,60.0,32.5,77.0,6
119551,SBI Bluechip Fund - Regular Plan - Growth,30.448613060027817,1.2082665673727175,0.23201007160635082,-15.012385498645331,1.54,Equity,87.5,92.5,77.5,26.25,60.0,74.8125,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,29.17135767741186,1.2349300257743294,0.2827036785246582,-16.39674294693263,1.6,Equity,82.5,95.0,92.5,11.25,50.0,73.6875,8
101206,ABSL Frontline Equity Fund - Regular - Growth,28.960211096593724,1.0272133278753695,0.21399784776051212,-11.291596329323072,1.6,Equity,80.0,80.0,72.5,11.25,80.0,68.1875,9
119598,SBI Small Cap Fund - Regular Plan - Growth,26.66309129954312,0.9453082575156095,0.3033696538698332,-28.706005721764548,1.43,Equity,72.5,67.5,100.0,50.0,12.5,67.375,10
149323,DSP Midcap Fund - Regular - Growth,26.863103668817146,1.1321218524747243,0.26598577542043045,-17.24810575345138,1.61,Equity,75.0,87.5,82.5,7.5,47.5,66.75,11
149324,DSP Small Cap Fund - Regular - Growth,26.99350260734621,0.9497958246616031,0.3005787817097677,-31.171900300634213,1.52,Equity,77.5,70.0,97.5,36.25,10.0,66.6875,12
118632,Nippon India Large Cap Fund - Regular - Growth,22.646647456747715,1.0816591793457042,0.21829397904608644,-17.41407508665723,1.51,Equity,67.5,82.5,75.0,41.25,45.0,66.5625,13
119552,SBI Bluechip Fund - Direct Plan - Growth,16.263375081360643,0.9532794968660104,0.1986859936686296,-11.803493502764296,0.66,Equity,45.0,72.5,65.0,92.5,75.0,66.0,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,18.429918008610045,0.7757902498211205,0.17729754927531766,-15.200013055606398,0.92,Equity,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25,15
118635,Nippon India ETF Nifty 50 BeES,20.00321571698329,0.664856998549062,0.1513635464823924,-11.650624505409091,0.89,Equity,60.0,55.00000000000001,45.0,70.0,77.5,59.0,16
118633,Nippon India Large Cap Fund - Direct - Growth,21.084691029380597,0.6452074382933215,0.15643835948169668,-18.62974313859551,0.72,Equity,65.0,50.0,47.5,88.75,37.5,58.5625,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,19.662361245910965,0.8170993373494367,0.17048756803412696,-10.85986215250232,1.57,Equity,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,13.974980348212673,0.7979728586052847,0.17703302365844073,-13.897862823061635,1.42,Equity,40.0,60.0,60.0,52.5,67.5,53.625,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.744434832760533,0.9262873467360144,0.20873010086942337,-15.27259422823477,1.52,Equity,42.5,65.0,67.5,36.25,55.00000000000001,53.4375,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,18.417429266835228,0.6488787755249532,0.1625385327998104,-19.82565826298267,1.41,Equity,52.5,52.5,52.5,55.00000000000001,35.0,51.125,21
120507,ICICI Pru Liquid Fund - Regular - Growth,7.392538786263403,0.4957233929533123,0.06746210411099539,-0.09773140045925555,0.74,Debt,30.0,45.0,25.0,85.0,100.0,48.0,22
119093,Axis Bluechip Fund - Direct - Growth,20.8115598266319,0.12961449795669328,0.08232801295222093,-21.751396370148225,0.75,Equity,62.5,30.0,32.5,82.5,25.0,47.625,23
102887,UTI Flexi Cap Fund - Regular - Growth,25.549670172502026,0.6195175900829828,0.16211256794033255,-21.539827112383225,1.64,Equity,70.0,47.5,50.0,3.75,27.500000000000004,46.1875,24
149322,DSP Top 100 Equity Fund - Regular - Growth,18.03973982038829,0.46403744922047774,0.13173190226099432,-14.844576917771747,1.54,Equity,50.0,40.0,42.5,26.25,62.5,43.6875,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.242518737374208,0.30061192104254786,0.11989100971217971,-21.11727956013212,0.78,Equity,37.5,35.0,37.5,77.5,30.0,42.125,26
120844,Kotak Liquid Fund - Regular - Growth,6.694394239074852,-0.08874729621557288,0.06455677495375998,-0.11629327956168556,0.6,Debt,27.500000000000004,17.5,22.5,95.0,97.5,41.125,27
120841,Kotak Bluechip Fund - Regular - Growth,17.263014444437943,0.4942725378672349,0.13042924450705445,-17.57361416468729,1.59,Equity,47.5,42.5,40.0,15.0,42.5,39.375,28
118634,Nippon India Small Cap Fund - Regular - Growth,8.0060298597036,0.44843400890899127,0.1750072167561127,-23.34488614483311,1.53,Equity,35.0,37.5,57.49999999999999,31.25,22.5,38.3125,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,4.061259859840338,-0.35662950751436784,0.05074772999976104,-8.316361763638703,0.55,Debt,20.0,7.5,15.0,100.0,87.5,34.625,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.838988442093762,-0.22657538662791576,0.05620895216638369,-4.328728923970093,0.77,Debt,22.5,10.0,17.5,80.0,90.0,33.75,31
101208,ABSL Liquid Fund - Regular - Growth,6.314299292105274,-0.8155673679088263,0.060861457957871144,-0.16224980244717857,0.79,Debt,25.0,2.5,20.0,75.0,95.0,32.875,32
100025,HDFC Short Term Debt Fund - Regular - Growth,3.9154793546847033,-0.5670947928476846,0.042817920315060876,-4.308263824636349,0.56,Debt,17.5,5.0,7.5,97.5,92.5,31.875,33
120842,Kotak Emerging Equity Fund - Regular - Growth,7.75416750547262,0.07599984804658923,0.0780443887615508,-24.003511326274886,1.56,Equity,32.5,27.500000000000004,30.0,20.0,20.0,27.625,34
119599,SBI Small Cap Fund - Direct Plan - Growth,-1.337083602283895,-0.05718662582817995,0.048824215945539845,-52.57422117012851,0.72,Equity,7.5,22.5,12.5,88.75,2.5,23.9375,35
119092,Axis Bluechip Fund - Regular - Growth,0.5257668501786883,0.03078485095458594,0.0689952982167755,-14.401617909337261,1.64,Equity,12.5,25.0,27.500000000000004,3.75,65.0,22.5625,36
101207,ABSL Small Cap Fund - Regular - Growth,-4.151453816140693,0.16266076928646772,0.10897091901704538,-35.44691649336603,1.53,Equity,5.0,32.5,35.0,31.25,7.5,22.0625,37
119095,Axis Small Cap Fund - Regular - Growth,-11.703299329834216,-0.0759735711747892,0.048015953637759554,-51.677753708526566,1.38,Equity,2.5,20.0,10.0,60.0,5.0,17.25,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,1.2923525892154508,-0.20151706755966936,0.03747580763443281,-24.734440880673304,1.55,Equity,15.0,15.0,5.0,22.5,17.5,14.375,39
102886,UTI Mid Cap Fund - Regular - Growth,-0.7672319440258146,-0.20583160785470309,0.028969397866379445,-28.00112356639287,1.51,Equity,10.0,12.5,2.5,41.25,15.0,14.3125,40
