date,p5,p25,p50,p75,p95
2026-05-29,342.0072,342.0072,342.0072,342.0072,342.0072
2026-06-01,336.18186964284087,339.7199033935867,342.45546204801866,345.00636275972647,349.263898175793
2026-06-02,333.7755493346949,339.7403615630633,342.87039853732824,346.57117021575766,352.85641026882433
2026-06-03,332.3494940575552,339.0371193720928,343.18435760085225,348.09905282839463,355.4127349343329
2026-06-04,330.7788170899703,338.5567672860252,343.449214816319,348.821180142903,357.83220322374285
2026-06-05,328.7632607821914,337.80116429714076,343.766613415395,350.03378906079473,359.37783812587946
2026-06-08,327.4398618419955,337.4219929255835,343.9327093594115,350.82608863638586,361.2398596330394
2026-06-09,326.4886922859399,337.3883302785007,344.3758044771704,351.57745525842046,362.604035619099
2026-06-10,325.74295510329614,336.8066650640184,344.6526620541191,352.18027774026916,365.0129250170013
2026-06-11,325.3155799215578,336.929077090653,344.9178531556298,353.20916106334863,367.5256614998864
2026-06-12,325.0058940282741,336.7548402386736,345.4978905997565,353.77813475386904,367.802631458119
2026-06-15,323.4105673155941,336.66018670681257,345.7672972344573,354.3032576631622,369.3942571933186
2026-06-16,322.93970529275816,336.1124903116063,346.0381008392569,355.6032344397171,370.47191623591823
2026-06-17,323.13340346940134,336.2712487003473,347.0443502548196,356.08276067941125,372.13165029174365
2026-06-18,323.7951071499839,336.3178878360577,347.4311411990325,357.20080677859744,373.3257087045814
2026-06-19,322.3048422533584,336.6888251492684,347.58713946505486,357.93028361255625,375.04070574879205
2026-06-22,321.95714063854626,336.8707425758891,348.27754997501967,358.6840607337696,375.88026903865426
2026-06-23,321.7036260141035,336.7847946704788,348.72712558844063,358.7224201370007,377.3975027720707
2026-06-24,320.3793750198558,337.1093178346564,349.04216129173824,360.52515053138507,378.4274754239046
2026-06-25,320.30708757877613,337.53904984234657,349.0391505106196,361.16581801152853,379.01231429295933
2026-06-26,318.830365205335,337.3197711377498,349.08624599152654,362.8179802644638,381.93869947806286
